crop,health_status,n,p,k,ph,soil_moisture
Rice,Nitrogen Deficiency,48.05,55.0,74.49,5.77,41.05
Rice,Phosphorus Deficiency,46.22,40.78,54.48,6.35,51.7
Maize,Phosphorus Deficiency,78.67,64.22,66.93,7.56,34.58
Cotton,Phosphorus Deficiency,50.06,62.2,74.27,6.81,43.68
Sugarcane,Nitrogen Deficiency,77.3,70.23,84.53,5.76,42.65
Sugarcane,Nitrogen Deficiency,85.39,45.1,79.33,5.25,65.72
Rice,Nitrogen Deficiency,46.73,61.92,81.7,7.23,57.96
Sugarcane,pH Stress,55.68,47.59,65.77,6.86,66.92
Cotton,pH Stress,55.56,53.86,47.8,5.99,67.64
Maize,Potassium Toxicity,61.79,79.54,79.6,6.09,64.26
Wheat,Phosphorus Deficiency,54.21,84.46,62.51,7.31,69.82
Sugarcane,Potassium Toxicity,54.38,40.92,46.35,6.14,59.02
Rice,Potassium Toxicity,84.49,66.51,71.35,4.01,62.4
Rice,Nitrogen Deficiency,44.61,56.96,43.9,6.03,61.36
Wheat,Optimal Health,54.41,79.91,48.07,6.18,57.45
Wheat,Nitrogen Deficiency,51.63,83.4,82.8,7.97,57.65
Sugarcane,Phosphorus Deficiency,47.71,67.21,68.48,5.14,68.13
Wheat,pH Stress,87.52,79.69,74.54,6.72,69.35
Maize,Nitrogen Deficiency,65.33,60.35,54.02,4.68,65.78
Cotton,Phosphorus Deficiency,58.73,47.65,53.66,7.67,61.09
Cotton,Potassium Toxicity,60.39,53.89,53.07,4.06,33.31
Rice,Nitrogen Deficiency,64.94,45.76,49.88,4.64,69.79
Cotton,pH Stress,43.66,63.35,78.66,5.7,45.91
Wheat,Phosphorus Deficiency,45.2,71.21,65.29,6.61,57.07
Maize,pH Stress,65.37,60.11,73.97,4.4,50.84
Cotton,Optimal Health,56.87,82.3,62.4,4.47,33.05
Wheat,Nitrogen Deficiency,50.4,84.84,76.36,4.4,32.62
Rice,Potassium Toxicity,40.71,63.8,59.61,6.98,66.23
Rice,Phosphorus Deficiency,57.28,65.64,63.94,6.11,61.78
Wheat,Phosphorus Deficiency,59.83,42.09,76.9,6.97,48.67
