crop,health_status,n,p,k,ph,soil_moisture
Sugarcane,Potassium Toxicity,71.62,53.17,175.25,6.19,65.55
Cotton,Phosphorus Deficiency,70.67,19.66,52.32,7.44,74.9
Rice,pH Stress,87.32,48.17,67.45,4.78,74.93
Maize,pH Stress,113.22,53.51,64.96,4.71,73.56
Rice,Optimal Health,79.87,38.91,79.11,6.15,70.94
Cotton,Nitrogen Deficiency,13.55,53.54,76.81,6.45,83.78
Sugarcane,Nitrogen Deficiency,12.69,35.68,78.81,6.01,77.18
Wheat,Optimal Health,104.72,41.99,72.63,7.01,78.32
Maize,Phosphorus Deficiency,113.41,17.64,54.92,6.68,79.84
Cotton,Phosphorus Deficiency,84.48,13.56,60.84,7.22,83.81
Sugarcane,Nitrogen Deficiency,17.91,38.44,66.45,7.32,80.27
Wheat,Phosphorus Deficiency,79.43,18.18,73.13,6.56,81.53
Cotton,Optimal Health,91.63,58.37,59.52,7.3,69.12
Sugarcane,Phosphorus Deficiency,98.29,20.22,52.41,6.35,61.76
Maize,Nitrogen Deficiency,22.79,51.77,61.38,6.67,64.79
Sugarcane,Phosphorus Deficiency,110.96,16.28,71.01,7.24,66.56
Rice,Phosphorus Deficiency,119.24,16.37,75.72,7.15,68.26
Cotton,pH Stress,95.74,51.3,62.82,4.85,83.87
Maize,Optimal Health,71.16,42.18,75.18,6.3,69.38
Cotton,Potassium Toxicity,110.0,47.72,244.76,6.76,77.59
Cotton,Optimal Health,115.14,38.4,51.38,6.93,70.09
Sugarcane,Phosphorus Deficiency,76.46,24.02,71.3,7.41,84.87
Maize,Potassium Toxicity,80.34,53.11,153.18,6.28,83.37
Rice,Potassium Toxicity,117.89,58.89,175.63,6.53,67.55
Rice,Nitrogen Deficiency,20.81,42.15,78.54,6.65,84.3
Maize,Optimal Health,78.34,58.01,58.36,6.27,76.82
Rice,pH Stress,85.9,50.4,79.25,5.09,72.86
Wheat,pH Stress,101.84,58.78,65.86,5.48,84.81
Wheat,Phosphorus Deficiency,115.98,23.04,54.07,6.6,70.71
Sugarcane,pH Stress,86.09,40.16,73.22,5.38,78.01
Sugarcane,Potassium Toxicity,105.02,40.54,150.25,7.1,75.32
Rice,Potassium Toxicity,96.62,52.44,175.98,6.46,75.85
Wheat,Nitrogen Deficiency,22.58,59.74,55.5,7.0,84.3
Rice,Potassium Toxicity,75.38,46.97,242.27,7.1,63.54
Cotton,Potassium Toxicity,95.09,37.05,226.23,6.52,82.44
Wheat,Phosphorus Deficiency,101.78,12.18,79.52,7.1,76.14
Sugarcane,Potassium Toxicity,101.32,48.43,230.25,6.53,64.79
Cotton,pH Stress,104.57,40.87,50.99,4.98,64.3
Rice,Phosphorus Deficiency,96.52,12.95,79.88,6.28,81.58
Rice,pH Stress,71.33,45.45,61.04,5.27,79.49
Cotton,Nitrogen Deficiency,16.5,59.61,75.34,6.19,72.97
Maize,Optimal Health,91.89,46.54,57.28,7.11,67.2
Wheat,pH Stress,119.93,36.5,74.45,4.73,74.95
Wheat,pH Stress,80.35,56.69,53.63,4.29,69.05
Cotton,Phosphorus Deficiency,113.95,17.36,66.82,7.05,65.03
Wheat,pH Stress,72.32,35.38,75.39,4.87,63.11
Sugarcane,Potassium Toxicity,102.77,40.87,230.22,6.87,79.25
Wheat,Nitrogen Deficiency,25.22,39.98,66.12,6.11,84.52
Cotton,Nitrogen Deficiency,21.98,51.7,65.5,6.03,73.8
Sugarcane,pH Stress,80.77,52.83,64.45,4.61,79.17
Cotton,Phosphorus Deficiency,84.01,16.53,73.66,6.37,62.56
Maize,Potassium Toxicity,80.25,55.9,238.28,7.38,67.59
Maize,Optimal Health,86.57,48.3,70.8,7.47,63.96
Rice,Phosphorus Deficiency,93.09,22.58,53.62,7.39,79.2
Wheat,Potassium Toxicity,119.47,43.37,197.21,6.08,75.04
Rice,Optimal Health,77.1,47.63,75.12,7.3,81.73
Rice,Optimal Health,99.95,51.21,54.51,6.48,71.7
Rice,Optimal Health,96.61,42.0,78.37,6.37,70.42
Maize,Nitrogen Deficiency,24.12,45.61,77.54,6.64,75.35
Rice,Nitrogen Deficiency,21.53,39.96,72.79,6.89,74.17
Rice,Phosphorus Deficiency,87.05,10.47,58.76,7.03,81.85
Cotton,Phosphorus Deficiency,76.54,15.74,70.81,6.85,82.38
Rice,Nitrogen Deficiency,26.25,56.95,75.94,6.36,75.66
Sugarcane,pH Stress,73.56,41.89,57.47,4.69,81.26
Cotton,pH Stress,75.08,51.7,75.28,5.26,66.78
Rice,Nitrogen Deficiency,16.77,42.48,63.44,7.05,74.78
Rice,Optimal Health,83.04,55.32,54.84,7.27,82.41
Wheat,Optimal Health,71.89,45.8,76.33,6.05,63.95
Rice,Optimal Health,108.69,50.89,62.88,6.03,67.06
Cotton,Nitrogen Deficiency,17.53,41.07,78.15,6.13,63.37
Cotton,Phosphorus Deficiency,89.36,10.25,53.88,7.28,66.45
Wheat,Phosphorus Deficiency,81.31,13.85,53.95,7.31,79.96
Sugarcane,Optimal Health,71.77,42.36,79.48,6.01,69.23
Cotton,Potassium Toxicity,90.93,45.11,195.95,6.14,83.91
Sugarcane,Potassium Toxicity,88.32,46.17,238.91,6.67,61.76
Rice,Optimal Health,94.3,55.31,58.44,7.37,73.86
Wheat,pH Stress,83.27,39.35,51.47,4.32,73.03
Rice,pH Stress,92.52,57.56,65.99,4.33,75.32
Cotton,Potassium Toxicity,80.61,48.62,231.63,6.34,60.63
Maize,Phosphorus Deficiency,111.81,17.38,52.22,7.44,67.01
Rice,Optimal Health,109.24,54.66,64.45,6.98,81.96
Cotton,Optimal Health,83.79,37.72,61.67,6.95,73.85
Maize,Potassium Toxicity,113.6,46.37,239.61,6.28,61.05
Sugarcane,Potassium Toxicity,94.87,43.39,222.69,7.07,65.44
Maize,Phosphorus Deficiency,103.85,12.58,67.5,6.55,82.95
Sugarcane,pH Stress,116.29,46.09,72.85,4.89,62.4
Maize,Potassium Toxicity,73.36,48.53,211.95,7.32,68.69
Sugarcane,Optimal Health,88.63,40.13,50.08,6.24,81.85
Sugarcane,Potassium Toxicity,108.34,41.14,218.56,7.41,72.39
Sugarcane,Optimal Health,112.93,35.81,72.9,6.99,62.68
Sugarcane,pH Stress,99.0,36.13,61.05,4.79,73.77
Maize,Nitrogen Deficiency,29.6,39.37,64.45,7.41,68.92
Wheat,Nitrogen Deficiency,23.21,57.7,70.97,6.51,60.49
Cotton,Optimal Health,96.91,44.6,54.18,7.29,65.81
Wheat,pH Stress,107.5,50.18,60.64,4.91,72.34
Cotton,Phosphorus Deficiency,106.82,12.47,61.88,6.93,63.5
Wheat,Phosphorus Deficiency,113.11,20.42,69.69,6.46,65.17
Rice,pH Stress,83.75,39.1,75.91,4.44,78.87
Maize,Optimal Health,118.09,51.91,50.47,7.45,70.37
Sugarcane,Optimal Health,83.08,42.17,69.89,7.27,69.57
Maize,Nitrogen Deficiency,26.77,50.48,59.03,7.49,67.98
Cotton,Potassium Toxicity,102.23,48.31,157.08,6.76,75.28
Sugarcane,pH Stress,98.48,42.46,62.53,4.78,71.61
Maize,Optimal Health,77.36,49.49,60.32,6.76,82.69
Cotton,Potassium Toxicity,74.73,43.13,213.44,6.14,62.61
Cotton,Optimal Health,102.51,50.03,74.29,6.56,64.46
Rice,Potassium Toxicity,96.79,52.25,232.13,7.13,75.79
